Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 19, Seattle, Washington",19-RC-339256,"Portland General Electric",Closed,04/03/2024,06/24/2024,"Certification of Results",Tualatin,OR,A,"Single Labor Organization",Initial,06/13/2024,32,1,"International Brotherhood of Electrical Workers, Local 125",28,,,,,1,29,,,,"International Brotherhood of Electrical Workers, Local 125","Included: All full-time and part-time distribution system operators, transmission system operators, and balancing authority operators employed by the Employer.

Excluded: All managers, confidential employees, and guards and supervisors as defined by the Act.
",,,
"Region 29, Brooklyn, New York",29-RC-339373,"Transdev Services, Inc.",Closed,04/03/2024,06/25/2024,"Certific. of Representative","Garden City",NY,A,"Single Labor Organization",Initial,06/13/2024,8,,"Transport Workers Union of America AFL- CIO",7,,,,,1,8,,,,"Transport Workers Union of America AFL- CIO","Included: All full time and regular part-time safety trainiers employed by the Employer at its Mitchel Field facility, as identified in the parties' Eligibility Agreement in Case No. 29-RC-339373.

Excluded: All other employees, including guards and supervisors as defined by the Act.",,,
"Region 10, Atlanta, Georgia",10-RM-339842,"The Luther F. Carson Four Rivers Center, Inc.",Closed,04/11/2024,06/24/2024,"Certific. of Representative",Paducah,KY,A,"Single Labor Organization",Initial,06/13/2024,41,,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists, and Allied Crafts of the United States, its Territories and Canada, Local Union No. 421, AFL-CIO",34,,,,,4,38,,3,,"International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists, and Allied Crafts of the United States, its Territories and Canada, Local Union No. 421, AFL-CIO","All general stagehands (including utility), leads, riggers (credentialed and non-credentialed), loaders, pushers, wardrobe employees, hair and makeup employees, carpenters, electricians, audio/visual employees, props employees, and flyrail employees, employed by The Luther F. Carson Four Rivers Center at its facility located at 100 Kentucky Avenue, Paducah, Kentucky 42003, but excluding all Facilities Managers, Production Stage Managers, Assistant Stage Managers, sales employees, maintenance employees, salaried and administrative employees, office clerical employees, guards, managers, and supervisors as defined in the Act.",,,
"Region 05, Baltimore, Maryland",05-RC-341219,"Paragon Systems, Inc.",Closed,04/30/2024,07/02/2024,"Certific. of Representative",Washington,DC,A,"Single Labor Organization",Initial,06/13/2024,23,1,"International Union, Security, Police and Fire Professionals of America (SPFPA)",13,,,,,,13,,,,"International Union, Security, Police and Fire Professionals of America (SPFPA)","INCLUDED: All full time and regular part time Guard IIs. 

EXCLUDED: All other employees, managers, professional employees, confidential employees, clerical employees, and supervisors as defined by the Act.
",,,
"Region 21, Los Angeles, California",21-RC-341851,"Sharp Chula Vista Medical Center",Closed,05/08/2024,06/24/2024,"Certific. of Representative","Chula Vista",CA,A,"Single Labor Organization",Initial,06/13/2024,122,,"United Nurses Associations of California/Union of Health Care Professionals",66,,,,,25,91,,6,,"United Nurses Associations of California/Union of Health Care Professionals","Included: All full-time, regular part-time, and per diem other professional employees, which constitutes solely of physical therapist I, physical therapist II, physical therapist III, speech and language pathologist I, speech and language pathologist II, speech and language pathologist III, occupational therapist I, occupational therapist II, occupational therapist III, dieticians, medical social workers, pharmacists, pharmacist - emergency department, pharmacy specialist-informatics, pharmacy clinical specialist-infectious disease, pharmacist – oncology hematology, pharmacist – critical care, and pharmacist – outpatient skilled nursing facility, employed by the Employer at Sharp Chula Vista Medical Center Campus located at 751 Medical Center Court, Chula Vista, California, 752 Medical Center Court, Chula Vista, California, and Veterans Home of California, Chula Vista (VHC-Chula Vista) 700 East Naples Ct., Chula Vista California. 

Excluded:  All other employees, physicians, registered nurses, business office clerical employees, skilled maintenance employees, technical employees, other non-professional employees, guards, managerial employees, and supervisors as defined in the Act. 


Eligible to vote are all employees in the unit who have worked an average of 4 hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.  

",,,
"Region 05, Baltimore, Maryland",05-RM-342035,"University of Maryland Medical Center, LLC and Maryland General Hospital, Inc. d/b/a University of Maryland Medical Center Midtown Campus, Joint Petitioners",Closed,05/10/2024,06/25/2024,"Certific. of Representative",Baltimore,MD,A,"Single Labor Organization",Initial,06/13/2024,947,,"University of Maryland Resident and Fellow Alliance, AFT-Maryland, a/w American Federation of Teachers, AFL-CIO",628,,,,,19,647,,,,"University of Maryland Resident and Fellow Alliance, AFT-Maryland, a/w American Federation of Teachers, AFL-CIO","All full-time residents and fellows employed by the University of Maryland Medical Center, LLC at 22 South Greene Street, Baltimore, Maryland or Maryland General Hospital, Inc. d/b/a University of Maryland Medical Center Midtown Campus, at 827 Linden Avenue, Baltimore, Maryland; but excluding all other employees, non-professional employees, managerial employees, guards, and supervisors as defined in the Act.",,,
"Region 19, Seattle, Washington",19-RC-341954,"BFS Group LLC",Closed,05/10/2024,06/24/2024,"Certification of Results",Yakima,WA,A,"Single Labor Organization",Initial,06/13/2024,12,,"International Brotherhood of Teamsters Local No. 760",5,,,,,7,12,,,,,"All full-time and regular part-time CDL drivers, forklift drivers, boom operators, receivers, material handlers, and lead sawyers employed by the Employer at its facility located at 1301 E Mead Ave, Yakima WA; excluding all managers, office clericals, guards, professional employees and supervisors as defined by the Act, and all other employees.
",,,
"Region 01, Boston, Massachusetts",01-RC-342340,"Student Transportation of America, Inc.",Closed,05/16/2024,06/24/2024,"Certific. of Representative",Haddam,CT,A,"Two Labor Organizations",Initial,06/13/2024,50,,"Transport Workers Union, Local 100",19,"International Brotherhood of Teamsters Local 443",5,,,9,33,,,,"Transport Workers Union, Local 100","Included:  All regular part-time and full-time Drivers and Monitors employed by the Employer at its Higganum, Connecticut facility. 

Excluded: All mechanics, and guards, professional employees and supervisors as defined in the Act.

",,,
"Region 19, Seattle, Washington",19-RD-342403,"Animal Supply Company, LLC",Closed,05/16/2024,06/24/2024,"Certific. of Representative",Fife,WA,A,"Single Labor Organization",Initial,06/13/2024,53,,"Teamsters Union Local 117, affiliated with the International Brotherhood of Teamsters",31,,,,,13,44,,,,"Teamsters Union Local 117, affiliated with the International Brotherhood of Teamsters","All full-time and regular part-time warehouse employees, warehouse leads, drivers, and warehouse administrative employees employed by the Employer at its Fife, Washington, facility; excluding temporary agency employees and guards and supervisors as defined under the Act.",,,
"Region 03, Buffalo, New York",03-RM-342421,"Saputo Cheese USA, Inc.",Closed,05/17/2024,06/24/2024,"Certific. of Representative",Delhi,NY,A,"Single Labor Organization",Initial,06/13/2024,219,,"Saputo Cheese USA, Inc.",100,,,,,92,192,,,,"Saputo Cheese USA, Inc.","INCLUDED: All full-time and regular part-time hourly production, warehousing, receiving, and maintenance employees in the classifications of Palletizer Operators, Cooler Operators, Warehouse Operation Coordinators, Distribution Clerks, Forklift Operators, General Attendants, Lead-hands, Shipper Operators, Sanitation Attendants, Custodian Attendants, Mix Blend Operators, Milk Receivers, UHT Operators, Production Line Attendants, Filler Machine Operators, Aerosol Machine Operators, Top Seal Operators, Box Maker Operators, Maintenance Technicians, Maintenance Planners,  Maintenance Clerks, Waste Water Operators,  Shuttle Drivers, Yard Spotters, Mechanics, Janitors, Quality Assurance Clerks, Quality Assurance Lab Technicians, Quality Assurance Coordinator, Quality Assurance Lead-Hands, Inventory Coordinators, and Production Coordinators, employed by the Employer at its Delhi, New York Facility; but excluding all Continuous Improvement Specialists, Maintenance Specialists, Food Safety Specialists, Finance Accountants, Finance Clerks, Training Coordinators, Production Schedulers, Material Planners, Production Planners, professional employees, guards, supervisors as defined in the Act, and all other employees. 

",,,
"Region 13, Chicago, Illinois",13-RD-342645,"JDRC Managed Services, LLC",Closed,05/21/2024,06/24/2024,"Certification of Results",Joliet,IL,A,"Single Labor Organization",Initial,06/13/2024,158,1,"Local 881 United Food and Commercial Workers",34,,,,,97,131,,2,,,"Included: All full-time and regular part-time employees within the following job classifications: Manufacturing Agent; Facility Coordinator; Facility Maintenance Technician; Facility Maintenance Lead; Inventory Control Lead; Inventory Control Specialist; Kitchen Agent; Kitchen Porter; Lab Packaging Agent; Lab Packaging Lead; Manufacturing Technician; Manufacturing Lead; Logistics Agent; Lead Logistics Agent; Material Handler; Order Fulfillment Agent; Order Fulfillment Lead; Packaging Agent; and Packaging Lead who are employed by the Employer at its facility currently located at 3301 Centerpoint Way, Joliet, IL. 
Excluded: All Chemists; Data Processors; Master Schedulers; Microbiologists; Quality Assurance Specialists; Gardeners; Harvest Agents; Lead Gardeners; all other employees, managers, and guards; and supervisors as defined in the Act.
",,,
"Region 08, Cleveland, Ohio",08-RC-342861,"Prime Healthcare Foundation - Coshocton, LLC",Closed,05/22/2024,07/02/2024,"Certific. of Representative",Coshocton,OH,A,"Single Labor Organization",Initial,06/13/2024,14,,"Ohio Nurses Association, AFT Local 5903 a/w American Federation of Teachers, AFL-CIO",11,,,,,2,13,,,,"Ohio Nurses Association, AFT Local 5903 a/w American Federation of Teachers, AFL-CIO","All Licensed Practical Nurses and Surgical Technicians employed by the Employer at its 1460 Orange St., Coshocton, Ohio facility, but excluding all other employees including managers, directors, office clerical employees, professional employees, guards, and supervisors as defined in the Act. 
",,,
